Container_ID,Shipment_ID,Container_Type,Container_Number,Free_Days,Port_Dwell_Days,DD_Days,DD_Rate_Per_Day_USD,DD_Charge_USD,DD_Status,Picked_Up,Carrier,POD
CONT0000044,SHP000009,20RF,MSCU9582547,14,1,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000045,SHP000009,20GP,MSCU3449200,14,7,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000046,SHP000009,40GP,MSCU7148254,10,10,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000047,SHP000009,40GP,MSCU9096533,14,6,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000048,SHP000009,40HC,MSCU2242680,7,5,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000049,SHP000009,40HC,MSCU6745238,14,8,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000050,SHP000009,20RF,MSCU5327209,10,8,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000051,SHP000009,40GP,MSCU3483430,10,10,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000052,SHP000009,40HC,MSCU7085502,10,1,0,0,0,No Charge,Yes,Evergreen,Toronto
CONT0000053,SHP000010,40RF,MSCU6112711,10,5,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000054,SHP000010,40GP,MSCU3156762,14,8,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000055,SHP000010,20RF,MSCU5316874,7,10,3,150,450,Charged,Yes,MSC,Vancouver
CONT0000056,SHP000010,40RF,MSCU6082767,7,1,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000057,SHP000010,40HC,MSCU7109621,7,10,3,75,225,Charged,Yes,MSC,Vancouver
CONT0000058,SHP000010,40GP,MSCU6774944,14,8,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000059,SHP000010,40HC,MSCU9780144,7,10,3,250,750,Charged,Yes,MSC,Vancouver
CONT0000060,SHP000010,40GP,MSCU9812012,10,7,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000061,SHP000010,20RF,MSCU1238783,14,3,0,0,0,No Charge,Yes,MSC,Vancouver
CONT0000062,SHP000010,40HC,MSCU4463308,5,6,1,100,100,Charged,Yes,MSC,Vancouver
CONT0000063,SHP000011,40RF,MSCU3006411,7,3,0,0,0,No Charge,Yes,Yang Ming,Chicago
CONT0000064,SHP000011,20RF,MSCU1204695,7,6,0,0,0,No Charge,Yes,Yang Ming,Chicago
CONT0000065,SHP000011,20GP,MSCU7685573,7,4,0,0,0,No Charge,Yes,Yang Ming,Chicago
CONT0000066,SHP000012,20GP,MSCU5554570,5,6,1,250,250,Charged,Yes,Maersk,Vancouver
CONT0000067,SHP000012,40RF,MSCU9773624,5,1,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000068,SHP000012,40GP,MSCU5111878,7,4,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000069,SHP000012,20GP,MSCU5458768,7,8,1,100,100,Charged,Yes,Maersk,Vancouver
CONT0000070,SHP000012,20GP,MSCU3223802,10,2,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000071,SHP000012,40GP,MSCU5092644,10,1,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000072,SHP000013,40RF,MSCU1857027,14,8,0,0,0,No Charge,No,CMA CGM,Chicago
CONT0000073,SHP000013,20RF,MSCU2952975,10,2,0,0,0,No Charge,No,CMA CGM,Chicago
CONT0000074,SHP000014,40GP,MSCU2675639,14,2,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000075,SHP000014,40HC,MSCU1161102,7,10,3,200,600,Charged,Yes,COSCO,Chicago
CONT0000076,SHP000014,40GP,MSCU8654679,14,2,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000077,SHP000014,40RF,MSCU5542317,5,5,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000078,SHP000014,40RF,MSCU9108087,14,3,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000079,SHP000015,40RF,MSCU5177895,10,5,0,0,0,No Charge,Yes,Yang Ming,Toronto
CONT0000080,SHP000015,40RF,MSCU6180871,10,5,0,0,0,No Charge,Yes,Yang Ming,Toronto
CONT0000081,SHP000015,20RF,MSCU1109341,14,2,0,0,0,No Charge,Yes,Yang Ming,Toronto
CONT0000082,SHP000015,20RF,MSCU3736881,10,9,0,0,0,No Charge,Yes,Yang Ming,Toronto
CONT0000083,SHP000015,40HC,MSCU2586587,7,2,0,0,0,No Charge,Yes,Yang Ming,Toronto
CONT0000084,SHP000016,40GP,MSCU4247993,14,6,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000085,SHP000016,40HC,MSCU9418465,5,4,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000086,SHP000016,20RF,MSCU2726662,10,6,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000087,SHP000017,40RF,MSCU3593718,10,28,18,100,1800,Charged,Yes,ONE,New York
CONT0000088,SHP000017,20RF,MSCU3881944,10,21,11,100,1100,Charged,Yes,ONE,New York
CONT0000089,SHP000017,40HC,MSCU9664866,7,28,21,100,2100,Charged,Yes,ONE,New York
CONT0000090,SHP000017,40HC,MSCU4837345,14,28,14,200,2800,Charged,Yes,ONE,New York
CONT0000091,SHP000017,40HC,MSCU3432470,10,26,16,150,2400,Charged,Yes,ONE,New York
CONT0000092,SHP000017,40HC,MSCU8544846,10,24,14,150,2100,Charged,Yes,ONE,New York
CONT0000093,SHP000017,20RF,MSCU7998173,10,25,15,250,3750,Charged,Yes,ONE,New York
CONT0000094,SHP000017,20RF,MSCU6932624,5,25,20,75,1500,Charged,Yes,ONE,New York
CONT0000095,SHP000017,20GP,MSCU4392572,7,26,19,150,2850,Charged,Yes,ONE,New York
CONT0000096,SHP000017,40HC,MSCU1397267,7,23,16,150,2400,Charged,Yes,ONE,New York
CONT0000097,SHP000018,40HC,MSCU4346251,10,7,0,0,0,No Charge,Yes,CMA CGM,Toronto
CONT0000098,SHP000018,20RF,MSCU5596336,7,10,3,250,750,Charged,Yes,CMA CGM,Toronto
CONT0000099,SHP000018,40GP,MSCU6460699,5,2,0,0,0,No Charge,Yes,CMA CGM,Toronto
CONT0000100,SHP000018,20GP,MSCU7544171,14,10,0,0,0,No Charge,Yes,CMA CGM,Toronto
CONT0000101,SHP000019,40RF,MSCU7291774,14,4,0,0,0,No Charge,Yes,Maersk,New York
CONT0000102,SHP000019,40HC,MSCU5631287,5,2,0,0,0,No Charge,Yes,Maersk,New York
CONT0000103,SHP000019,20GP,MSCU8916176,10,8,0,0,0,No Charge,Yes,Maersk,New York
CONT0000104,SHP000019,20RF,MSCU3546321,7,2,0,0,0,No Charge,Yes,Maersk,New York
CONT0000105,SHP000020,40RF,MSCU4355347,7,10,3,150,450,Charged,Yes,Hapag-Lloyd,Chicago
CONT0000106,SHP000021,40HC,MSCU5374141,5,8,3,100,300,Charged,Yes,Hapag-Lloyd,Vancouver
CONT0000107,SHP000021,20GP,MSCU6267395,10,1,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000108,SHP000021,40GP,MSCU6389968,10,8,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000109,SHP000021,40HC,MSCU6587015,14,4,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000110,SHP000021,40RF,MSCU1388196,7,5,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000111,SHP000021,20RF,MSCU7648944,7,2,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000112,SHP000021,20GP,MSCU9594324,14,1,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000113,SHP000021,20RF,MSCU1538280,10,1,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000114,SHP000021,40HC,MSCU6599438,10,9,0,0,0,No Charge,Yes,Hapag-Lloyd,Vancouver
CONT0000115,SHP000022,20GP,MSCU2884667,5,2,0,0,0,No Charge,Yes,Maersk,Toronto
CONT0000116,SHP000022,40RF,MSCU8859233,7,9,2,75,150,Charged,Yes,Maersk,Toronto
CONT0000117,SHP000022,40HC,MSCU8813403,7,2,0,0,0,No Charge,Yes,Maersk,Toronto
CONT0000118,SHP000022,20GP,MSCU4047980,14,3,0,0,0,No Charge,Yes,Maersk,Toronto
CONT0000119,SHP000022,20RF,MSCU1360433,10,8,0,0,0,No Charge,Yes,Maersk,Toronto
CONT0000120,SHP000022,20GP,MSCU7542233,14,10,0,0,0,No Charge,Yes,Maersk,Toronto
CONT0000121,SHP000023,40HC,MSCU8166381,5,1,0,0,0,No Charge,Yes,COSCO,Miami
CONT0000122,SHP000023,40RF,MSCU6479762,7,5,0,0,0,No Charge,Yes,COSCO,Miami
CONT0000123,SHP000023,40HC,MSCU3560283,14,4,0,0,0,No Charge,Yes,COSCO,Miami
CONT0000124,SHP000023,40HC,MSCU4046519,7,3,0,0,0,No Charge,Yes,COSCO,Miami
CONT0000125,SHP000024,40RF,MSCU1661904,5,1,0,0,0,No Charge,Yes,HMM,Miami
CONT0000126,SHP000024,20GP,MSCU6493884,7,9,2,150,300,Charged,Yes,HMM,Miami
CONT0000127,SHP000024,40GP,MSCU6082313,10,4,0,0,0,No Charge,Yes,HMM,Miami
CONT0000128,SHP000024,40GP,MSCU4644612,7,7,0,0,0,No Charge,Yes,HMM,Miami
CONT0000129,SHP000024,20RF,MSCU3065444,10,1,0,0,0,No Charge,Yes,HMM,Miami
CONT0000130,SHP000024,40GP,MSCU7382330,14,1,0,0,0,No Charge,Yes,HMM,Miami
CONT0000131,SHP000024,20RF,MSCU4332588,5,8,3,200,600,Charged,Yes,HMM,Miami
CONT0000132,SHP000024,20GP,MSCU2557794,7,7,0,0,0,No Charge,Yes,HMM,Miami
CONT0000133,SHP000024,40RF,MSCU3041850,7,9,2,250,500,Charged,Yes,HMM,Miami
CONT0000134,SHP000024,20RF,MSCU7012792,7,4,0,0,0,No Charge,Yes,HMM,Miami
CONT0000135,SHP000025,40GP,MSCU2523219,10,7,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000136,SHP000025,40RF,MSCU2878919,10,8,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000137,SHP000025,20RF,MSCU8046664,14,1,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000138,SHP000025,40HC,MSCU6200630,14,2,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000139,SHP000025,40GP,MSCU2416860,5,7,2,150,300,Charged,Yes,Evergreen,Los Angeles
CONT0000140,SHP000025,40HC,MSCU6423586,14,8,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000141,SHP000025,40GP,MSCU1155591,5,3,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000142,SHP000025,40GP,MSCU8882149,7,9,2,100,200,Charged,Yes,Evergreen,Los Angeles
CONT0000143,SHP000025,40GP,MSCU5917143,5,1,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000144,SHP000025,40GP,MSCU8033665,10,10,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000145,SHP000026,40GP,MSCU4046988,7,11,4,250,1000,Charged,Yes,Evergreen,Los Angeles
CONT0000146,SHP000026,20GP,MSCU9347594,10,10,0,0,0,No Charge,Yes,Evergreen,Los Angeles
CONT0000147,SHP000027,40HC,MSCU5449004,7,6,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000148,SHP000027,40HC,MSCU1478098,10,2,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000149,SHP000027,20RF,MSCU1780131,14,2,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000150,SHP000027,40GP,MSCU3653695,14,11,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000151,SHP000027,40GP,MSCU2545582,5,2,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000152,SHP000027,20RF,MSCU8791898,14,3,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000153,SHP000027,40GP,MSCU1012106,14,10,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000154,SHP000028,40HC,MSCU3150815,10,8,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000155,SHP000028,40RF,MSCU2617294,10,9,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000156,SHP000028,40GP,MSCU3111127,14,8,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000157,SHP000028,40GP,MSCU4784131,7,9,2,100,200,Charged,Yes,Maersk,Vancouver
CONT0000158,SHP000028,40HC,MSCU2765436,5,2,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000159,SHP000028,40GP,MSCU6051756,7,4,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000160,SHP000028,40RF,MSCU9672216,10,8,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000161,SHP000028,20RF,MSCU7287608,10,3,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000162,SHP000028,20RF,MSCU1805615,7,10,3,75,225,Charged,Yes,Maersk,Vancouver
CONT0000163,SHP000029,40GP,MSCU1572338,7,3,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000164,SHP000029,40HC,MSCU1196503,7,3,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000165,SHP000029,40GP,MSCU7805792,14,8,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000166,SHP000029,40RF,MSCU5409130,14,4,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000167,SHP000030,40RF,MSCU6659799,14,2,0,0,0,No Charge,Yes,Evergreen,Seattle
CONT0000168,SHP000030,40HC,MSCU9176462,10,3,0,0,0,No Charge,Yes,Evergreen,Seattle
CONT0000169,SHP000030,40RF,MSCU5410115,14,2,0,0,0,No Charge,Yes,Evergreen,Seattle
CONT0000170,SHP000030,20GP,MSCU3117757,5,6,1,200,200,Charged,Yes,Evergreen,Seattle
CONT0000171,SHP000030,20GP,MSCU3017925,5,4,0,0,0,No Charge,Yes,Evergreen,Seattle
CONT0000172,SHP000030,40HC,MSCU8592777,10,3,0,0,0,No Charge,Yes,Evergreen,Seattle
CONT0000173,SHP000031,40RF,MSCU4063727,14,9,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000174,SHP000031,40GP,MSCU4722144,14,9,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000175,SHP000031,40RF,MSCU3546298,5,4,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000176,SHP000031,40RF,MSCU4865865,5,9,4,150,600,Charged,Yes,Yang Ming,New York
CONT0000177,SHP000031,20GP,MSCU3778902,7,6,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000178,SHP000031,40RF,MSCU8113803,7,3,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000179,SHP000031,20RF,MSCU5974384,7,5,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000180,SHP000031,20RF,MSCU8851806,14,9,0,0,0,No Charge,Yes,Yang Ming,New York
CONT0000181,SHP000032,20GP,MSCU2256118,10,3,0,0,0,No Charge,Yes,HMM,Miami
CONT0000182,SHP000032,40GP,MSCU2120966,10,9,0,0,0,No Charge,Yes,HMM,Miami
CONT0000183,SHP000032,40GP,MSCU9068702,5,7,2,100,200,Charged,Yes,HMM,Miami
CONT0000184,SHP000032,40GP,MSCU8029809,7,4,0,0,0,No Charge,Yes,HMM,Miami
CONT0000185,SHP000032,40GP,MSCU6878859,14,10,0,0,0,No Charge,Yes,HMM,Miami
CONT0000186,SHP000032,40GP,MSCU7735054,5,4,0,0,0,No Charge,Yes,HMM,Miami
CONT0000187,SHP000032,40GP,MSCU8438704,5,10,5,100,500,Charged,Yes,HMM,Miami
CONT0000188,SHP000033,20GP,MSCU2967833,7,5,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000189,SHP000033,40RF,MSCU8903903,10,9,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000190,SHP000033,20GP,MSCU8623020,7,8,1,150,150,Charged,Yes,COSCO,Seattle
CONT0000191,SHP000033,40HC,MSCU1687389,7,2,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000192,SHP000033,20RF,MSCU8145593,14,5,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000193,SHP000033,40GP,MSCU9771788,7,8,1,150,150,Charged,Yes,COSCO,Seattle
CONT0000194,SHP000033,40RF,MSCU7082569,5,2,0,0,0,No Charge,Yes,COSCO,Seattle
CONT0000195,SHP000034,20RF,MSCU1950471,7,8,1,200,200,Charged,Yes,ZIM,Toronto
CONT0000196,SHP000034,40HC,MSCU9519865,5,5,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000197,SHP000034,40HC,MSCU2394075,10,7,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000198,SHP000035,40GP,MSCU9304320,5,2,0,0,0,No Charge,Yes,ONE,Seattle
CONT0000199,SHP000035,40HC,MSCU2744250,7,10,3,200,600,Charged,Yes,ONE,Seattle
CONT0000200,SHP000035,40RF,MSCU7305252,14,9,0,0,0,No Charge,Yes,ONE,Seattle
CONT0000201,SHP000035,20GP,MSCU2653843,14,1,0,0,0,No Charge,Yes,ONE,Seattle
CONT0000202,SHP000035,40HC,MSCU8077121,5,2,0,0,0,No Charge,Yes,ONE,Seattle
CONT0000203,SHP000035,20RF,MSCU8729984,14,1,0,0,0,No Charge,Yes,ONE,Seattle
CONT0000204,SHP000035,20GP,MSCU4624541,5,7,2,200,400,Charged,Yes,ONE,Seattle
CONT0000205,SHP000036,20GP,MSCU5903591,7,2,0,0,0,No Charge,Yes,Maersk,New York
CONT0000206,SHP000037,40HC,MSCU7016123,14,1,0,0,0,No Charge,Yes,HMM,Seattle
CONT0000207,SHP000037,40HC,MSCU8482755,10,6,0,0,0,No Charge,Yes,HMM,Seattle
CONT0000208,SHP000038,40HC,MSCU3694288,5,6,1,200,200,Charged,Yes,HMM,Chicago
CONT0000209,SHP000038,40HC,MSCU7733046,7,9,2,250,500,Charged,Yes,HMM,Chicago
CONT0000210,SHP000038,20GP,MSCU6599618,10,3,0,0,0,No Charge,Yes,HMM,Chicago
CONT0000211,SHP000038,40GP,MSCU6310561,10,10,0,0,0,No Charge,Yes,HMM,Chicago
CONT0000212,SHP000039,20RF,MSCU6249999,10,2,0,0,0,No Charge,No,HMM,Houston
CONT0000213,SHP000039,40GP,MSCU5440600,14,3,0,0,0,No Charge,No,HMM,Houston
CONT0000214,SHP000039,20RF,MSCU7064346,14,6,0,0,0,No Charge,No,HMM,Houston
CONT0000215,SHP000039,20GP,MSCU2870334,7,3,0,0,0,No Charge,No,HMM,Houston
CONT0000216,SHP000039,40RF,MSCU5969473,7,10,3,150,450,Charged,No,HMM,Houston
CONT0000217,SHP000039,20GP,MSCU4332284,7,7,0,0,0,No Charge,No,HMM,Houston
CONT0000218,SHP000040,20RF,MSCU5418616,5,2,0,0,0,No Charge,Yes,Yang Ming,Seattle
CONT0000219,SHP000040,40HC,MSCU7656473,7,6,0,0,0,No Charge,Yes,Yang Ming,Seattle
CONT0000220,SHP000040,40HC,MSCU2379281,7,7,0,0,0,No Charge,Yes,Yang Ming,Seattle
CONT0000221,SHP000040,20GP,MSCU5125577,10,4,0,0,0,No Charge,Yes,Yang Ming,Seattle
CONT0000222,SHP000040,20RF,MSCU4765958,7,5,0,0,0,No Charge,Yes,Yang Ming,Seattle
CONT0000223,SHP000041,20RF,MSCU4623343,7,13,6,100,600,Charged,Yes,Yang Ming,Houston
CONT0000224,SHP000041,40GP,MSCU1348529,7,10,3,150,450,Charged,Yes,Yang Ming,Houston
CONT0000225,SHP000041,40RF,MSCU4225237,14,17,3,200,600,Charged,Yes,Yang Ming,Houston
CONT0000226,SHP000041,40RF,MSCU7704457,14,12,0,0,0,No Charge,Yes,Yang Ming,Houston
CONT0000227,SHP000041,40HC,MSCU8236259,14,14,0,0,0,No Charge,Yes,Yang Ming,Houston
CONT0000228,SHP000041,40HC,MSCU6990710,10,15,5,100,500,Charged,Yes,Yang Ming,Houston
CONT0000229,SHP000041,40GP,MSCU3160312,5,12,7,150,1050,Charged,Yes,Yang Ming,Houston
CONT0000230,SHP000041,40RF,MSCU6259401,5,18,13,200,2600,Charged,Yes,Yang Ming,Houston
CONT0000231,SHP000042,40HC,MSCU4757489,5,10,5,100,500,Charged,Yes,ZIM,Los Angeles
CONT0000232,SHP000042,20GP,MSCU8721526,14,5,0,0,0,No Charge,Yes,ZIM,Los Angeles
CONT0000233,SHP000042,20RF,MSCU2084777,14,8,0,0,0,No Charge,Yes,ZIM,Los Angeles
CONT0000234,SHP000042,20RF,MSCU1965457,7,1,0,0,0,No Charge,Yes,ZIM,Los Angeles
CONT0000235,SHP000042,20GP,MSCU6946051,10,8,0,0,0,No Charge,Yes,ZIM,Los Angeles
CONT0000236,SHP000042,40HC,MSCU1462664,5,5,0,0,0,No Charge,Yes,ZIM,Los Angeles
CONT0000237,SHP000043,20RF,MSCU4610526,14,7,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000238,SHP000043,40HC,MSCU6545427,14,5,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000239,SHP000043,20RF,MSCU3419829,7,10,3,250,750,Charged,Yes,Maersk,Vancouver
CONT0000240,SHP000043,20GP,MSCU7012107,10,1,0,0,0,No Charge,Yes,Maersk,Vancouver
CONT0000241,SHP000044,20GP,MSCU9888098,5,2,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000242,SHP000044,40GP,MSCU4008839,14,3,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000243,SHP000044,20GP,MSCU6566514,7,1,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000244,SHP000044,40RF,MSCU7500351,5,2,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000245,SHP000044,40GP,MSCU6759540,14,7,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000246,SHP000044,40HC,MSCU3976461,7,2,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000247,SHP000044,20GP,MSCU4096510,14,5,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000248,SHP000044,40GP,MSCU6892169,10,7,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000249,SHP000044,20GP,MSCU9789034,5,6,1,200,200,Charged,Yes,Maersk,Chicago
CONT0000250,SHP000044,20GP,MSCU1992308,10,1,0,0,0,No Charge,Yes,Maersk,Chicago
CONT0000251,SHP000045,20GP,MSCU9877176,10,2,0,0,0,No Charge,Yes,COSCO,Houston
CONT0000252,SHP000045,20RF,MSCU6138255,5,1,0,0,0,No Charge,Yes,COSCO,Houston
CONT0000253,SHP000046,40HC,MSCU2164158,5,10,5,250,1250,Charged,Yes,Evergreen,Seattle
CONT0000254,SHP000046,20RF,MSCU4049874,7,4,0,0,0,No Charge,Yes,Evergreen,Seattle
