Shipment_ID,Supplier_ID,Carrier,POL,POD,ETD,ETA,Actual_Arrival,Transit_Days,Delay_Days,Delay_Reason,On_Time,Num_Containers,Freight_Rate_USD,Total_Freight_USD,Cargo_Value_USD,Incoterms,Shipment_Status
SHP000011,SUP0003,Yang Ming,Hong Kong,Chicago,2023-02-23,2023-03-29,2023-03-29,34,0,None,Yes,3,3285.25,9855.75,334997.23,EXW,Delivered
SHP000012,SUP0003,Maersk,Hamburg,Vancouver,2022-05-31,2022-06-27,2022-06-27,27,0,None,Yes,6,4059.2,24355.2,885306.73,EXW,Delivered
SHP000013,SUP0010,CMA CGM,Hamburg,Chicago,2024-12-19,2025-01-02,2025-01-02,14,0,None,Yes,2,4274.04,8548.08,177576.56,FOB,In Transit
SHP000014,SUP0004,COSCO,Ningbo,Chicago,2023-08-01,2023-08-28,2023-08-28,27,0,None,Yes,5,2670.01,13350.05,288565.19,FOB,Delivered
SHP000015,SUP0003,Yang Ming,Singapore,Toronto,2022-01-08,2022-02-12,2022-02-12,35,0,None,Yes,5,1397.85,6989.25,469743.74,DAP,Delivered
SHP000016,SUP0018,Maersk,Shenzhen,Vancouver,2022-11-02,2022-11-18,2022-11-18,16,0,None,Yes,3,2390.21,7170.63,89737.42,EXW,Delivered
SHP000017,SUP0002,ONE,Busan,New York,2022-07-30,2022-09-04,2022-09-22,36,18,Equipment Shortage,No,10,3573.07,35730.7,929475.63,CIF,Delivered
SHP000018,SUP0006,CMA CGM,Rotterdam,Toronto,2023-01-03,2023-02-07,2023-02-07,35,0,None,Yes,4,1787.18,7148.72,798005.78,FOB,Delivered
SHP000019,SUP0013,Maersk,Hamburg,New York,2023-02-13,2023-03-28,2023-03-28,43,0,None,Yes,4,1624.82,6499.28,677031.52,DAP,Delivered
SHP000020,SUP0011,Hapag-Lloyd,Shenzhen,Chicago,2023-12-21,2024-01-29,2024-01-29,39,0,None,Yes,1,1226.76,1226.76,971880.58,CIF,Delivered
SHP000021,SUP0019,Hapag-Lloyd,Shanghai,Vancouver,2024-06-08,2024-07-14,2024-07-14,36,0,None,Yes,9,1227.89,11051.01,904529.5,CIF,Delivered
SHP000022,SUP0009,Maersk,Rotterdam,Toronto,2024-11-30,2024-12-26,2024-12-26,26,0,None,Yes,6,3105.68,18634.08,680218.1,FOB,Delivered
SHP000023,SUP0010,COSCO,Singapore,Miami,2023-10-31,2023-12-09,2023-12-09,39,0,None,Yes,4,2355.65,9422.6,943345.49,CIF,Delivered
SHP000024,SUP0020,HMM,Singapore,Miami,2022-01-01,2022-02-03,2022-02-03,33,0,None,Yes,10,3044.65,30446.5,356136.77,DAP,Delivered
SHP000025,SUP0015,Evergreen,Hamburg,Los Angeles,2022-06-23,2022-07-25,2022-07-25,32,0,None,Yes,10,2040.2,20402.0,827502.29,CIF,Delivered
SHP000026,SUP0010,Evergreen,Busan,Los Angeles,2022-02-20,2022-03-08,2022-03-16,16,8,Documentation Error,No,2,2485.04,4970.08,891830.06,CFR,Delivered
SHP000027,SUP0007,Yang Ming,Hamburg,Miami,2023-05-15,2023-06-07,2023-06-08,23,1,Port Congestion,No,7,1609.71,11267.97,813904.36,CFR,Delivered
SHP000028,SUP0015,Maersk,Busan,Vancouver,2024-07-23,2024-08-14,2024-08-14,22,0,None,Yes,9,3003.17,27028.53,952537.63,DAP,Delivered
SHP000029,SUP0020,COSCO,Rotterdam,Seattle,2022-11-22,2023-01-05,2023-01-05,44,0,None,Yes,4,3907.49,15629.96,313445.79,CFR,Delivered
SHP000030,SUP0016,Evergreen,Singapore,Seattle,2022-06-08,2022-07-10,2022-07-10,32,0,None,Yes,6,4104.2,24625.2,126548.77,CIF,Delivered
SHP000031,SUP0008,Yang Ming,Ningbo,New York,2022-05-12,2022-06-21,2022-06-21,40,0,None,Yes,8,2338.36,18706.88,246492.67,DAP,Delivered
SHP000032,SUP0013,HMM,Shanghai,Miami,2024-09-03,2024-09-17,2024-09-17,14,0,None,Yes,7,3957.76,27704.32,955758.82,DAP,Delivered
SHP000033,SUP0018,COSCO,Busan,Seattle,2023-03-26,2023-04-26,2023-04-26,31,0,None,Yes,7,2043.68,14305.76,695184.79,DAP,Delivered
SHP000034,SUP0006,ZIM,Ningbo,Toronto,2024-03-17,2024-04-01,2024-04-01,15,0,None,Yes,3,4007.35,12022.05,222642.58,EXW,Delivered
SHP000035,SUP0013,ONE,Busan,Seattle,2023-11-01,2023-12-06,2023-12-06,35,0,None,Yes,7,1733.4,12133.8,127810.92,FOB,Delivered
SHP000036,SUP0018,Maersk,Hong Kong,New York,2022-05-21,2022-06-06,2022-06-07,16,1,Customs Inspection,No,1,3098.94,3098.94,276617.69,DAP,Delivered
SHP000037,SUP0004,HMM,Busan,Seattle,2023-06-09,2023-07-16,2023-07-16,37,0,None,Yes,2,3677.83,7355.66,205577.52,EXW,Delivered
SHP000038,SUP0004,HMM,Shanghai,Chicago,2024-02-08,2024-03-18,2024-03-18,39,0,None,Yes,4,1177.03,4708.12,783856.84,CFR,Delivered
SHP000039,SUP0004,HMM,Shanghai,Houston,2024-12-27,2025-02-06,2025-02-06,41,0,None,Yes,6,846.81,5080.86,449055.8,DAP,In Transit
SHP000040,SUP0004,Yang Ming,Hong Kong,Seattle,2022-11-10,2022-12-21,2022-12-21,41,0,None,Yes,5,3078.88,15394.4,923636.77,DAP,Delivered
SHP000041,SUP0015,Yang Ming,Singapore,Houston,2023-05-18,2023-06-06,2023-06-15,19,9,Customs Inspection,No,8,2908.44,23267.52,684779.05,EXW,Delivered
SHP000042,SUP0001,ZIM,Hong Kong,Los Angeles,2024-09-25,2024-10-22,2024-10-22,27,0,None,Yes,6,1834.74,11008.44,616347.26,EXW,Delivered
SHP000043,SUP0018,Maersk,Busan,Vancouver,2023-05-10,2023-06-19,2023-06-19,40,0,None,Yes,4,3355.25,13421.0,663607.75,DAP,Delivered
SHP000044,SUP0015,Maersk,Shenzhen,Chicago,2023-03-30,2023-05-08,2023-05-08,39,0,None,Yes,10,2165.38,21653.8,575799.31,EXW,Delivered
SHP000045,SUP0014,COSCO,Hong Kong,Houston,2024-07-18,2024-08-18,2024-08-18,31,0,None,Yes,2,3468.75,6937.5,349770.55,CFR,Delivered
SHP000046,SUP0006,Evergreen,Busan,Seattle,2023-07-21,2023-08-22,2023-08-22,32,0,None,Yes,5,1641.69,8208.45,220469.47,FOB,Delivered
SHP000047,SUP0018,CMA CGM,Singapore,Toronto,2022-04-22,2022-05-24,2022-05-24,32,0,None,Yes,8,1179.57,9436.56,61652.13,EXW,Delivered
SHP000048,SUP0016,ZIM,Hamburg,Houston,2023-01-13,2023-01-30,2023-02-08,17,9,Equipment Shortage,No,2,3841.83,7683.66,430672.07,FOB,Delivered
SHP000049,SUP0019,Maersk,Ningbo,Los Angeles,2023-09-15,2023-10-04,2023-10-04,19,0,None,Yes,7,3043.38,21303.66,801203.79,CIF,Delivered
SHP000050,SUP0017,Yang Ming,Hamburg,Seattle,2023-09-01,2023-10-12,2023-10-12,41,0,None,Yes,1,3055.63,3055.63,753084.84,CIF,Delivered
SHP000051,SUP0007,Hapag-Lloyd,Shenzhen,Los Angeles,2023-05-07,2023-06-01,2023-06-01,25,0,None,Yes,1,2311.52,2311.52,704902.58,DAP,Delivered
SHP000052,SUP0010,Maersk,Busan,Chicago,2023-08-03,2023-09-15,2023-09-15,43,0,None,Yes,5,3714.96,18574.8,643805.11,CIF,Delivered
SHP000053,SUP0014,MSC,Busan,Los Angeles,2023-06-29,2023-07-22,2023-07-22,23,0,None,Yes,5,3001.66,15008.3,833028.29,EXW,Delivered
SHP000054,SUP0015,MSC,Hamburg,Chicago,2024-04-04,2024-05-05,2024-05-05,31,0,None,Yes,8,1097.63,8781.04,87867.74,DAP,Delivered
SHP000055,SUP0011,HMM,Singapore,Toronto,2022-07-07,2022-08-04,2022-08-04,28,0,None,Yes,1,4498.42,4498.42,688667.51,EXW,Delivered
SHP000056,SUP0019,Maersk,Ningbo,Seattle,2024-11-28,2025-01-09,2025-01-09,42,0,None,Yes,10,2412.77,24127.7,823532.7,FOB,In Transit
SHP000057,SUP0016,ONE,Rotterdam,Houston,2023-10-20,2023-11-09,2023-11-09,20,0,None,Yes,8,1866.41,14931.28,947933.86,CFR,Delivered
SHP000058,SUP0002,ZIM,Shenzhen,Houston,2023-06-01,2023-07-05,2023-07-09,34,4,Equipment Shortage,No,9,3852.23,34670.07,51093.51,CFR,Delivered
SHP000059,SUP0015,Yang Ming,Shanghai,New York,2024-11-27,2025-01-03,2025-01-03,37,0,None,Yes,8,3611.96,28895.68,243380.33,CFR,In Transit
SHP000060,SUP0005,Hapag-Lloyd,Hamburg,Seattle,2022-09-06,2022-09-21,2022-09-21,15,0,None,Yes,3,1949.78,5849.34,62990.74,DAP,Delivered
SHP000061,SUP0003,Evergreen,Shenzhen,Seattle,2022-08-29,2022-09-21,2022-10-07,23,16,Bad Weather,No,9,3410.02,30690.18,444715.83,DAP,Delivered
SHP000062,SUP0016,Evergreen,Hamburg,Los Angeles,2024-02-25,2024-03-22,2024-03-22,26,0,None,Yes,3,3996.9,11990.7,312435.03,DAP,Delivered
SHP000063,SUP0011,COSCO,Singapore,Toronto,2023-08-03,2023-09-05,2023-09-05,33,0,None,Yes,8,4001.46,32011.68,474220.02,DAP,Delivered
SHP000064,SUP0012,ONE,Rotterdam,Seattle,2023-10-22,2023-11-17,2023-11-17,26,0,None,Yes,4,3967.25,15869.0,440236.34,EXW,Delivered
SHP000065,SUP0016,Yang Ming,Rotterdam,Los Angeles,2024-10-11,2024-10-27,2024-10-27,16,0,None,Yes,10,2028.38,20283.8,145346.37,DAP,Delivered
SHP000066,SUP0004,COSCO,Hamburg,Toronto,2022-10-23,2022-12-02,2022-12-02,40,0,None,Yes,5,2052.68,10263.4,708069.37,FOB,Delivered
SHP000067,SUP0011,COSCO,Rotterdam,Houston,2024-09-26,2024-10-12,2024-10-12,16,0,None,Yes,5,4490.48,22452.4,759428.05,DAP,Delivered
SHP000068,SUP0004,MSC,Hamburg,Los Angeles,2023-09-06,2023-09-21,2023-09-21,15,0,None,Yes,1,1885.46,1885.46,406099.04,CIF,Delivered
SHP000069,SUP0008,COSCO,Rotterdam,Los Angeles,2022-12-15,2023-01-09,2023-01-09,25,0,None,Yes,7,3092.93,21650.51,278788.3,CFR,Delivered
SHP000070,SUP0005,Evergreen,Hamburg,Chicago,2024-07-30,2024-08-29,2024-08-30,30,1,Equipment Shortage,No,5,3307.16,16535.8,200076.84,DAP,Delivered
SHP000071,SUP0012,HMM,Singapore,Miami,2023-05-28,2023-07-10,2023-07-10,43,0,None,Yes,7,3957.34,27701.38,151320.6,DAP,Delivered
SHP000072,SUP0019,ONE,Singapore,Chicago,2022-02-14,2022-03-25,2022-03-25,39,0,None,Yes,1,4169.28,4169.28,757913.55,EXW,Delivered
SHP000073,SUP0008,HMM,Hong Kong,New York,2023-01-25,2023-02-24,2023-02-24,30,0,None,Yes,1,1943.05,1943.05,468782.03,CFR,Delivered
SHP000074,SUP0012,CMA CGM,Shenzhen,Chicago,2023-11-01,2023-12-11,2023-12-11,40,0,None,Yes,9,4042.9,36386.1,397564.65,CFR,Delivered
SHP000075,SUP0009,CMA CGM,Singapore,Seattle,2023-08-28,2023-10-02,2023-10-02,35,0,None,Yes,2,1320.8,2641.6,968175.2,DAP,Delivered
SHP000076,SUP0018,ONE,Shenzhen,Miami,2022-01-29,2022-02-28,2022-02-28,30,0,None,Yes,6,3289.47,19736.82,688723.76,CFR,Delivered
SHP000077,SUP0013,ONE,Shenzhen,New York,2024-08-23,2024-09-07,2024-09-27,15,20,Documentation Error,No,6,4186.45,25118.7,260298.84,FOB,Delivered
SHP000078,SUP0015,Hapag-Lloyd,Rotterdam,Vancouver,2022-10-14,2022-10-30,2022-10-30,16,0,None,Yes,8,1229.65,9837.2,273060.03,CFR,Delivered
SHP000079,SUP0005,Yang Ming,Hamburg,Houston,2024-05-08,2024-05-31,2024-05-31,23,0,None,Yes,8,3077.91,24623.28,942100.41,EXW,Delivered
SHP000080,SUP0002,ONE,Busan,Seattle,2024-06-29,2024-07-28,2024-07-28,29,0,None,Yes,6,2814.52,16887.12,978950.4,EXW,Delivered
SHP000081,SUP0002,Yang Ming,Singapore,New York,2022-09-08,2022-10-21,2022-10-21,43,0,None,Yes,10,4393.05,43930.5,98049.59,EXW,Delivered
SHP000082,SUP0008,CMA CGM,Busan,Vancouver,2023-03-01,2023-03-28,2023-03-28,27,0,None,Yes,3,3717.98,11153.94,616182.55,EXW,Delivered
SHP000083,SUP0005,CMA CGM,Singapore,Los Angeles,2022-08-14,2022-08-29,2022-08-29,15,0,None,Yes,4,2978.76,11915.04,64992.03,EXW,Delivered
SHP000084,SUP0002,CMA CGM,Rotterdam,Vancouver,2022-05-11,2022-06-24,2022-06-24,44,0,None,Yes,9,2996.56,26969.04,479405.15,CIF,Delivered
SHP000085,SUP0020,Maersk,Singapore,Seattle,2022-03-05,2022-03-22,2022-03-22,17,0,None,Yes,7,3338.56,23369.92,515755.41,DAP,Delivered
SHP000086,SUP0003,MSC,Hong Kong,Los Angeles,2022-05-15,2022-06-06,2022-06-06,22,0,None,Yes,10,2828.92,28289.2,358926.17,CFR,Delivered
SHP000087,SUP0017,Hapag-Lloyd,Hamburg,Miami,2022-07-23,2022-08-13,2022-08-13,21,0,None,Yes,4,2391.26,9565.04,893686.47,DAP,Delivered
SHP000088,SUP0011,ZIM,Rotterdam,Miami,2022-07-14,2022-08-17,2022-08-17,34,0,None,Yes,5,2184.91,10924.55,195006.98,DAP,Delivered
SHP000089,SUP0003,MSC,Shenzhen,Vancouver,2024-06-03,2024-06-23,2024-06-23,20,0,None,Yes,9,1021.93,9197.37,958793.39,CFR,Delivered
SHP000090,SUP0011,MSC,Rotterdam,Houston,2024-05-16,2024-06-02,2024-06-02,17,0,None,Yes,6,1183.32,7099.92,532041.92,CIF,Delivered
SHP000091,SUP0016,Evergreen,Shenzhen,Houston,2024-01-23,2024-02-13,2024-02-13,21,0,None,Yes,7,3927.07,27489.49,975819.27,CFR,Delivered
SHP000092,SUP0020,COSCO,Shanghai,Chicago,2022-03-01,2022-03-26,2022-03-26,25,0,None,Yes,5,4209.69,21048.45,383472.25,CIF,Delivered
SHP000093,SUP0005,HMM,Rotterdam,Vancouver,2022-10-18,2022-11-02,2022-11-02,15,0,None,Yes,4,2191.92,8767.68,480963.5,CIF,Delivered
SHP000094,SUP0012,Hapag-Lloyd,Hong Kong,Vancouver,2022-04-18,2022-05-11,2022-05-11,23,0,None,Yes,1,3293.68,3293.68,308497.7,DAP,Delivered
SHP000095,SUP0016,HMM,Hamburg,Miami,2023-07-14,2023-08-10,2023-08-10,27,0,None,Yes,7,1210.29,8472.03,694307.0,CFR,Delivered
SHP000096,SUP0016,COSCO,Singapore,Toronto,2023-03-28,2023-05-06,2023-05-06,39,0,None,Yes,4,1915.25,7661.0,250672.28,CIF,Delivered
SHP000097,SUP0009,Hapag-Lloyd,Hong Kong,Vancouver,2022-01-16,2022-03-02,2022-03-02,45,0,None,Yes,7,2770.55,19393.85,268605.18,CFR,Delivered
SHP000098,SUP0012,MSC,Rotterdam,Toronto,2024-06-12,2024-06-27,2024-07-12,15,15,Bad Weather,No,10,2388.35,23883.5,434201.74,DAP,Delivered
SHP000099,SUP0010,MSC,Rotterdam,Toronto,2023-10-28,2023-11-21,2023-11-21,24,0,None,Yes,6,1126.08,6756.48,852260.14,CIF,Delivered
SHP000100,SUP0014,HMM,Rotterdam,Vancouver,2024-03-21,2024-04-23,2024-04-23,33,0,None,Yes,3,1082.6,3247.8,651563.43,CFR,Delivered
SHP000101,SUP0017,Evergreen,Hong Kong,Houston,2022-10-30,2022-11-28,2022-11-28,29,0,None,Yes,4,1441.95,5767.8,195226.3,FOB,Delivered
SHP000102,SUP0006,ZIM,Hamburg,Seattle,2023-10-24,2023-11-27,2023-11-27,34,0,None,Yes,8,2436.17,19489.36,337679.41,EXW,Delivered
SHP000103,SUP0019,Maersk,Hong Kong,Vancouver,2023-09-28,2023-11-10,2023-11-10,43,0,None,Yes,6,3877.28,23263.68,122894.45,FOB,Delivered
SHP000104,SUP0020,HMM,Rotterdam,Seattle,2022-03-26,2022-05-07,2022-05-07,42,0,None,Yes,6,3038.52,18231.12,526298.94,FOB,Delivered
SHP000105,SUP0015,MSC,Hong Kong,Vancouver,2024-10-30,2024-11-24,2024-11-24,25,0,None,Yes,8,4466.65,35733.2,547865.13,CFR,Delivered
SHP000106,SUP0006,ONE,Hong Kong,Chicago,2024-03-04,2024-04-13,2024-04-13,40,0,None,Yes,1,3720.14,3720.14,664940.09,FOB,Delivered
SHP000107,SUP0011,MSC,Rotterdam,Chicago,2023-06-01,2023-06-24,2023-06-24,23,0,None,Yes,3,4191.96,12575.88,344720.15,DAP,Delivered
SHP000108,SUP0005,HMM,Shenzhen,Chicago,2024-02-11,2024-03-17,2024-03-17,35,0,None,Yes,9,1145.78,10312.02,686933.24,CFR,Delivered
SHP000109,SUP0012,Maersk,Hong Kong,Chicago,2023-01-05,2023-02-01,2023-02-12,27,11,Equipment Shortage,No,4,1638.21,6552.84,180687.09,FOB,Delivered
SHP000110,SUP0010,MSC,Shanghai,Houston,2022-09-26,2022-11-03,2022-11-03,38,0,None,Yes,10,3793.46,37934.6,207262.21,DAP,Delivered
SHP000111,SUP0002,Yang Ming,Hong Kong,New York,2024-06-28,2024-07-30,2024-07-30,32,0,None,Yes,4,1945.03,7780.12,818192.68,DAP,Delivered
SHP000112,SUP0007,ONE,Hamburg,Seattle,2023-08-01,2023-09-08,2023-09-08,38,0,None,Yes,3,3822.5,11467.5,811196.26,CIF,Delivered
SHP000113,SUP0009,Maersk,Hamburg,Houston,2022-07-30,2022-08-20,2022-08-20,21,0,None,Yes,3,1809.33,5427.99,910040.9,CIF,Delivered
SHP000114,SUP0014,MSC,Busan,Seattle,2023-12-17,2024-01-01,2024-01-01,15,0,None,Yes,9,2183.66,19652.94,416857.81,FOB,Delivered
SHP000115,SUP0012,Evergreen,Shanghai,Houston,2022-07-22,2022-08-26,2022-08-26,35,0,None,Yes,5,4194.37,20971.85,498832.19,CIF,Delivered
SHP000116,SUP0016,ZIM,Shanghai,Vancouver,2022-02-08,2022-03-10,2022-03-10,30,0,None,Yes,9,4278.84,38509.56,628436.09,DAP,Delivered
SHP000117,SUP0004,Hapag-Lloyd,Busan,Chicago,2022-09-07,2022-09-24,2022-09-24,17,0,None,Yes,10,2491.32,24913.2,155315.0,DAP,Delivered
SHP000118,SUP0020,COSCO,Shanghai,New York,2022-10-22,2022-11-23,2022-11-23,32,0,None,Yes,6,1690.09,10140.54,445739.22,FOB,Delivered
SHP000119,SUP0017,ONE,Shenzhen,Toronto,2024-03-10,2024-04-23,2024-04-23,44,0,None,Yes,6,1738.51,10431.06,65430.12,FOB,Delivered
SHP000120,SUP0012,Evergreen,Shenzhen,Houston,2022-10-01,2022-10-17,2022-10-17,16,0,None,Yes,3,3872.42,11617.26,700448.44,DAP,Delivered
SHP000121,SUP0006,CMA CGM,Shenzhen,Seattle,2022-03-17,2022-04-18,2022-04-18,32,0,None,Yes,4,4077.42,16309.68,349816.03,EXW,Delivered
SHP000122,SUP0017,Yang Ming,Hamburg,Chicago,2022-03-16,2022-04-11,2022-04-11,26,0,None,Yes,1,4003.45,4003.45,365328.45,FOB,Delivered
SHP000123,SUP0012,Yang Ming,Rotterdam,Seattle,2024-03-02,2024-04-06,2024-04-06,35,0,None,Yes,8,2159.18,17273.44,807426.34,EXW,Delivered
SHP000124,SUP0003,Yang Ming,Shenzhen,Miami,2023-01-05,2023-02-06,2023-02-06,32,0,None,Yes,6,3245.4,19472.4,341171.06,CFR,Delivered
SHP000125,SUP0014,CMA CGM,Hamburg,Houston,2024-07-04,2024-07-20,2024-07-20,16,0,None,Yes,7,1815.85,12710.95,981025.92,FOB,Delivered
SHP000126,SUP0003,Yang Ming,Hong Kong,Los Angeles,2022-03-05,2022-03-28,2022-03-28,23,0,None,Yes,8,928.76,7430.08,113871.69,EXW,Delivered
SHP000127,SUP0012,Yang Ming,Shanghai,Los Angeles,2024-07-10,2024-08-16,2024-08-16,37,0,None,Yes,2,2923.51,5847.02,552986.89,DAP,Delivered
SHP000128,SUP0011,Hapag-Lloyd,Busan,Vancouver,2022-02-23,2022-03-20,2022-03-20,25,0,None,Yes,9,1235.72,11121.48,786216.26,DAP,Delivered
SHP000129,SUP0007,HMM,Singapore,Seattle,2023-02-14,2023-03-07,2023-03-12,21,5,Equipment Shortage,No,3,4125.11,12375.33,472855.63,FOB,Delivered
SHP000130,SUP0011,ONE,Shenzhen,Chicago,2023-09-07,2023-10-01,2023-10-01,24,0,None,Yes,9,1629.69,14667.21,985875.92,CIF,Delivered
SHP000131,SUP0008,ZIM,Shanghai,Houston,2024-01-26,2024-03-09,2024-03-09,43,0,None,Yes,2,1043.27,2086.54,428251.98,DAP,Delivered
SHP000132,SUP0017,Yang Ming,Rotterdam,Vancouver,2022-09-14,2022-10-18,2022-10-18,34,0,None,Yes,9,2074.7,18672.3,884062.14,CFR,Delivered
SHP000133,SUP0019,CMA CGM,Ningbo,Miami,2024-10-26,2024-11-12,2024-11-12,17,0,None,Yes,5,1409.23,7046.15,356527.71,CIF,Delivered
SHP000134,SUP0012,COSCO,Singapore,Vancouver,2023-05-29,2023-06-24,2023-06-24,26,0,None,Yes,5,3073.38,15366.9,138756.99,CIF,Delivered
SHP000135,SUP0019,HMM,Ningbo,Los Angeles,2023-11-23,2023-12-09,2023-12-09,16,0,None,Yes,10,1779.23,17792.3,250267.96,CFR,Delivered
SHP000136,SUP0014,HMM,Shanghai,Seattle,2023-08-17,2023-09-19,2023-09-19,33,0,None,Yes,7,1900.51,13303.57,119324.37,FOB,Delivered
SHP000137,SUP0006,ZIM,Rotterdam,Seattle,2024-08-09,2024-09-05,2024-09-05,27,0,None,Yes,6,3987.49,23924.94,353350.57,EXW,Delivered
SHP000138,SUP0013,CMA CGM,Hong Kong,Vancouver,2023-10-16,2023-11-14,2023-11-14,29,0,None,Yes,8,1717.3,13738.4,141971.07,EXW,Delivered
SHP000139,SUP0013,HMM,Rotterdam,New York,2022-11-24,2022-12-28,2022-12-28,34,0,None,Yes,4,3623.55,14494.2,523352.26,CFR,Delivered
SHP000140,SUP0015,ZIM,Singapore,Seattle,2022-02-17,2022-03-08,2022-03-08,19,0,None,Yes,4,1596.03,6384.12,385250.33,FOB,Delivered
SHP000141,SUP0010,ZIM,Hamburg,Chicago,2022-01-17,2022-02-06,2022-02-06,20,0,None,Yes,5,3491.78,17458.9,775663.93,EXW,Delivered
SHP000142,SUP0002,Yang Ming,Shanghai,New York,2024-01-13,2024-02-14,2024-02-14,32,0,None,Yes,8,3628.3,29026.4,315734.64,CFR,Delivered
SHP000143,SUP0020,MSC,Ningbo,Vancouver,2024-03-17,2024-04-23,2024-04-23,37,0,None,Yes,6,3593.37,21560.22,239104.99,CFR,Delivered
SHP000144,SUP0013,COSCO,Shanghai,Toronto,2022-03-21,2022-04-12,2022-04-12,22,0,None,Yes,9,2490.86,22417.74,625947.5,CFR,Delivered
SHP000145,SUP0005,ONE,Hong Kong,Los Angeles,2024-03-15,2024-04-17,2024-04-17,33,0,None,Yes,9,2769.66,24926.94,723302.82,EXW,Delivered
SHP000146,SUP0016,Maersk,Hong Kong,Houston,2022-08-13,2022-09-22,2022-09-22,40,0,None,Yes,1,3008.57,3008.57,302253.92,CFR,Delivered
SHP000147,SUP0019,Evergreen,Shanghai,Seattle,2022-12-16,2023-01-23,2023-01-23,38,0,None,Yes,4,916.81,3667.24,950794.91,FOB,Delivered
SHP000148,SUP0007,Maersk,Hamburg,Houston,2024-05-07,2024-05-30,2024-05-30,23,0,None,Yes,7,2656.73,18597.11,630904.16,DAP,Delivered
SHP000149,SUP0002,CMA CGM,Busan,Houston,2024-09-06,2024-10-14,2024-10-25,38,11,Equipment Shortage,No,9,2066.61,18599.49,386572.64,EXW,Delivered
SHP000150,SUP0020,ZIM,Busan,New York,2023-07-26,2023-08-28,2023-09-05,33,8,Bad Weather,No,5,3408.13,17040.65,705727.92,DAP,Delivered
SHP000151,SUP0011,ZIM,Hong Kong,Chicago,2023-08-13,2023-09-03,2023-09-03,21,0,None,Yes,7,4114.31,28800.17,424805.83,EXW,Delivered
SHP000152,SUP0005,Hapag-Lloyd,Shanghai,Chicago,2022-06-11,2022-07-17,2022-07-17,36,0,None,Yes,8,1591.75,12734.0,836554.12,EXW,Delivered
SHP000153,SUP0018,Hapag-Lloyd,Ningbo,Vancouver,2023-05-06,2023-06-04,2023-06-04,29,0,None,Yes,9,1634.99,14714.91,271194.73,FOB,Delivered
SHP000154,SUP0014,ONE,Hamburg,Vancouver,2022-10-09,2022-10-23,2022-11-10,14,18,Customs Inspection,No,7,3215.7,22509.9,886615.08,DAP,Delivered
SHP000155,SUP0016,Evergreen,Singapore,Houston,2023-08-08,2023-08-25,2023-08-25,17,0,None,Yes,4,2780.06,11120.24,736961.79,FOB,Delivered
SHP000156,SUP0006,Yang Ming,Ningbo,Toronto,2024-03-24,2024-05-08,2024-05-14,45,6,Bad Weather,No,1,834.29,834.29,589563.78,FOB,Delivered
SHP000157,SUP0011,Hapag-Lloyd,Hamburg,Seattle,2022-10-02,2022-11-14,2022-11-14,43,0,None,Yes,2,2023.53,4047.06,744563.27,EXW,Delivered
SHP000158,SUP0006,Maersk,Hong Kong,Chicago,2023-01-31,2023-02-25,2023-03-17,25,20,Equipment Shortage,No,7,2706.54,18945.78,132400.88,FOB,Delivered
SHP000159,SUP0006,CMA CGM,Hamburg,Houston,2023-05-24,2023-06-07,2023-06-07,14,0,None,Yes,8,3588.9,28711.2,956333.08,EXW,Delivered
